菜品标题,特点,原料,制作流程,已发布,发布时间
（四川成都天香仁和酒楼特色菜品）青瓜蒸鲍鱼（附自制鲜味汁配方制法）,"旺菜动态：
即便是川菜，在夏季也需要有清爽的菜肴，所以在成都天香仁和的新菜谱中，可以看到很多清爽的时令菜。下面给大家介绍的三款菜，制作非常简单，但各有技术要点，在调味方面也都进行了大刀阔斧地改造，故一经推出就受到了食客的青睐。比如香辣蟹改用新式的清爽汁水烹调，菜肴的爽口感立即得到了改良而且吃起来照样过瘾。
介绍：
在四川，鲍鱼算是比较上档次的食材，但是大部分的酒楼在烹调鲍鱼时都会加入大量辣椒和肉碎烹调。这种做法虽然深受食客喜爱，但是在这个季节，似乎有些不合时令，所以我们对鲍鱼做法进行了改造，使之呈现出清爽的口感。
活鲍鱼的烹调方法以冰镇爆炒过桥和蒸制为佳，前三种方法改造空间非常小，所以我决定用蒸制的方法烹调鲍鱼。
1特色汁水增鲜又增爽。
要想让菜肴具有清爽的口感，首先要选择一款比较爽口且可以提升鲍鱼鲜味的味水。经过反复试验，我们用蔬菜汁蚝油蒸鱼豉油等调制了一款鲜味汁，它淡淡的蔬菜香味弥补了菜肴鲜味的不足，而且具有浓郁的清香味。
2搭配丝瓜，增口感，调色泽。
鲍鱼虽然有非常浓郁的鲜味，但是如果单独蒸制，色彩比较单一，口感也没有变化，所以我们首先要做的就是给它找一个好伙伴，帮助它从口感色泽营养等方面进行完善。综合以上条件，我们最先想到的配料就是爽口耐蒸的绿色蔬，但是普通的蔬菜很少用来蒸制，所以我们把目光锁定到了经典菜肴蒜蓉蒸丝瓜上。丝瓜用于蒸制口感好，而且蒸制时间跟鲍鱼的成熟时间恰恰相同，色泽也靓丽，是制作这款菜肴的不二选择。
厨艺评论：
这款菜肴的做法是不错的，鲍鱼肉质比较紧密，不太容易吸收调料的风味，提前腌渍的做法很到位。四川人还是比较喜欢有点辣味的菜肴，在制作鲜味汁时建议作者加入一些鲜椒，或者熬好后加入一点辣鲜露，会更容易被当地食客接受。","原料：
12头的大连活鲍鱼14只，丝瓜500克。
调料：
A料（美极鲜味汁8克，料酒盐各5克，老抽3克），蒜蓉10克，自制鲜味汁50克，葱花5克，葱油15克。
自制鲜味汁配方制法：
香菜芹菜各250克，胡萝卜圆葱各100克，分别洗净后榨成汁，加入生抽600毫升老抽美极鲜味汁蚝油各50克，清水4千克大火烧开，改小火熬至浓香过滤即可。","制作方法：
（1）将大连活鲍鱼清洗干净，取肉后去掉内脏，用刷子刷掉表面的黑膜，略微冲洗放入淡盐水中浸泡15分钟捞出控水，加入A料腌渍15分钟。
（2）丝瓜去皮，洗净后切成长5厘米的段，加入盐5克蒜蓉10克腌渍3分钟。
（3）取一个铜盘，先放入丝瓜段垫底，再将鲍鱼放入，上笼大火蒸57分钟，取出后浇上提前熬好的鲜味汁，撒入葱花，浇上烧至八成热的葱油，上桌即可。
技术要点：
淡盐水浸鲍鱼不收缩。鲍鱼肉经过加热后非常容易收缩，菜肴的卖相也会变差。为了解决这个问题，我们采用了淡盐水浸泡的方法浸泡时间为15分钟。由于盐的作用刺激了原料表面的肉质纤维而使其定形，就可以防止原料在加热过程中继续收缩。处理时需要特别注意浸泡时间如果浸泡的时间太久，原料的鲜味会流失。
另附：活鲍鱼防缩小窍门：
1带壳高温浸泡。
锅内放入清水，下入少许葱段料酒姜片烧开，将刷洗干净的带壳鲜鲍放入水中，关火浸泡34分钟（1012头的大连鲍）捞出去壳，宰杀即可。这种方法的原理是蛋白质受热变性。
2带壳蒸鲍味最鲜。
鲍鱼略微刷洗带壳直接上笼蒸制，待鲍鱼刚刚断生，取出后再去掉内脏。
36070定形。
鲜鲍处理干净放入锅内，加入葱段姜片料酒纯净水中火烧开，当温度达到6070时，保持这个温度小火加热10分钟，这样也能有效防止鲍鱼收缩。",未发布,
糟香脆脆骨（附自制香糟汁做法）,"创意亮点：
糟醉菜非常受食客喜爱，但是糟醉菜的品种却非常少，我用月牙骨为主料制作糟醉菜，做好的成品口感脆爽，带有浓郁的香味。","原料：
月牙骨500克，黄瓜1千克。
调料：
盐15克，香糟汁750克，色拉油1千克（约耗20克）。
自制香糟汁做法：
上海香糟卤1瓶（约500克）加入纯净水200克蚝油5克黄酒15克芝麻油20克混合均匀。","制作方法：
（1）月牙骨洗净，切成非常薄的片，放入沸水中大火焯2分钟，取出吸干水分，放入烧至四成热的色拉油中，小火拉油，捞出后用清水冲漂20分钟。
（2）黄瓜洗净，切成薄片，加入盐腌渍30分钟放入甩干机内，甩干水分取出。
（3）将月牙骨和黄瓜片混合，加入香糟汁拌匀即可。
关键：
黄瓜腌渍后必须用甩干机甩干水分这样不仅可以增加黄瓜的脆口感，还可以保持黄瓜本身的翠绿色泽。
提问：
如果黄瓜腌渍后用重物压制可以吗？
作者回复：
用甩干机甩干操作起来更方便高效而且处理后的黄瓜还不会变色。如果用重物压制时间要在10小时以上，成品颜色容易发黑，卖相不好。",未发布,
腐汁茼蒿梗（附自制腐香汁配方制法）,"创意亮点：
江浙一带喜欢生炝茼蒿叶，于是我研发了这款凉菜，充分利用边角料。茼蒿梗是质地比较硬的根茎食材，所以我用腐乳调成浓稠的汁酱浸泡，十分入味。","原料：
茼蒿梗130克。
调料：
腐香汁75克。
自制腐香汁配方制法：
腐乳30克，芝麻油白酱油各15克，味精10克，纯净水20克。","制作方法：
（1）茼蒿梗入热水中焯2秒钟，用冰水迅速冰镇。
（2）整齐摆放盛器中，加入腐香汁浸泡即可。",未发布,
（浙江绍兴饭店凉菜团队创意新搭配凉菜）泰式椒香目鱼仔（附泰式酸辣汁制法）,"创意亮点：
这款菜借鉴泰式酸辣鹅掌的方法烹调而成，用目鱼仔作主料，配合圆葱柠檬大蒜片京葱捞拌口味酸辣，质地脆爽。","原料：
目鱼仔10个，圆葱柠檬各50克，大蒜片京葱片鲜花椒各20克。
调料：
泰式酸辣汁80克。
泰式酸辣汁制法：
柠檬1个，四川小米辣柚子皮各20克，白糖50克，纯净水100克，鱼露新鲜薄荷叶香菜香茅草各10克，所有原料一起入打汁机内打碎过滤即成。","制作方法：
（1）目鱼仔洗净，放入沸水中大火焯半分钟捞出冰镇。
（2）将目鱼仔放入盘中，将圆葱柠檬大蒜片京葱片鲜花椒放在目鱼仔上，淋上泰式酸辣汁即可。",未发布,
茶菇拼炙生刨冰（附特制干贝酱配方制法）,"创意亮点：
同样是一款跟刨冰搭配上桌的凉菜。茶树菇经过油炸后搭配干贝酱调制，香味十足，配合花生刨冰食用，更添一份清爽。
厨艺评论：
用干贝酱给茶树菇调味，效果是非常好的。其实，如果将干贝酱换成XO酱操作起来更方便。","原料：
茶树菇50克，花生仁40克
调料：
干贝酱20克，冰块卡夫奇妙酱各50克，花生粉30克，色拉油500克（约耗30克）。
干贝酱制法：
锅内放入色拉油50克，烧至五成热时，放入姜末蒜末炸香，下入干贝丝100克继续炒香，倒入盐味精海鲜酱各3克调味出锅即可。","制作方法：
（1）茶树菇去头尾，撕成长丝，洗净控，水放入烧至六成热的色拉油中，大火浸炸至色泽金黄取出控油。
（2）花生仁卡夫奇妙酱放入冰箱内冷冻至结块。
（3）客人点菜时取急冻的花生仁卡夫奇妙酱冰块花生粉放入刨冰机内刨成冰装入冻好的容器内。
（4）茶树菇加入干贝酱混合均匀，放在刨冰旁。",未发布,
时蔬舌卷（附自制酱汤配方与特制凉拌汁做法）,"创意亮点：
猪舌用来做冷菜多是咸鲜味的。这款菜肴采用红油陈醋调味，体现出浓郁的酸辣味让人食之过瘾。","原料：
猪舌400克，苦苣胡萝卜丝各70克，紫甘蓝丝30克，香菜5克。
调料：
自制酱汤1千克，特制凉拌汁120克。
自制酱汤配方制法：
骨头汤2千克，精盐20克，味精,10克，料酒30克，香料包1个（肉豆蔻3克，桂皮八角各2克，草果1个，陈皮香叶丁香白豆蔻小茴香各1克，葱段姜片各10克）一起放入不锈钢桶内，先大火烧开10分钟，再小火熬30分钟即成。
特制凉拌汁做法：
盐1克，味精2克，白糖辣鲜露各5克，红油50克，陈醋40克，泰椒圈4克，熟芝麻香葱丁各3克，味达美酱油10克。","制作方法：
（1）去净猪舌上的舌苔，入自制酱汤中,卤熟，晾凉后切成10 x10 x0.2厘米的片。
（2）依次将苦苣胡萝卜丝紫甘蓝丝放在猪舌片上面，卷成卷，摆入碗中。
（3）特制凉拌汁混合均匀，浇在猪舌卷上用香菜点缀即可。",未发布,
（四川成都第四城花园餐厅特色凉菜）捞汁眼睛螺（附自制酸辣捞汁配方制法）,"创意亮点：
将凉菜中浸汁做法的螺类菜肴进行更新升级，以捞汁的形式改良推新，食材选用海南眼睛螺为主材，新鲜感较强，引领潮流，美极产品的渗透性及去异味特性运用出色。
菜品制作：
谢志勇，现任四川成都第四城花园餐厅行政总厨。","原料：
眼睛螺150克。
调料：
青豆50克，小米辣3克，自制酸辣捞汁80克。
自制酸辣捞汁配方制法：
将美极鲜味汁60克，美极鲜辣汁50克，美极上汤鸡粉姜片各10克，自制蒸鱼豉油300克，香醋40克，广东米酒花椒油各20克调匀即可。","制作方法：
（1）眼睛螺解冻，去肠，汆水祛腥。
（2）青豆用水煮熟断生。
（3）最后将眼睛螺青豆倒入自制酸辣捞汁中浸泡半小时拌匀，撒小米辣装盘即可。
关键：
1浸泡时间不能太久，如果泡的太久食材容易变咸，要等上菜时再淋汁。
2美极鲜辣汁辣味醇厚又有适度鲜味，与香醋米酒调制升级版酸辣味汁水，可以去除眼睛螺的腥味，较好的渗透性可以在浸泡螺肉后让食材更易入味，另外美极鲜辣汁辣而不呛的特点，也可以很好的提升眼睛螺味道的同时不会抢味，口感更柔和醇厚。",未发布,
上海熏鱼（另附自制熏鱼卤水配方制法）,"卖点：
此菜是由苏式熏鱼演变而来，在上海地区非常受欢迎味道酸甜适口，还具有酥香脆的口感，制作方法也很特别，是颇受欢迎的一道菜品。","原料：
鲳鱼中段300克。
调料：
自制熏鱼卤水1千克，色拉油1千克（约耗30克）。
自制熏鱼卤水配方制法：
起锅入色拉油5克烧热，入葱段姜片各30克炒香，加水1.5千克，入甘草桂皮各3克，花椒八角各8克，香叶1片，冰糖50克，老抽黄酒各20克，蚝油8克，番茄沙司25克，盐五香粉各10克大火烧开转小火熬20分钟，转大火收汁（不要太浓稠）即可。","制作方法：
（1）将自制熏鱼卤水入冰箱冷藏1小时。
（2）鲳鱼中段洗净改刀成4x3 x1.5厘米的片，入七成热油锅炸4分钟至表面金黄色，控油，捞出趁热浸入冷藏的熏鱼卤水中浸泡10秒钟（鱼肉与卤水接触的一刹那，可听到磁磁的响声），捞出装盘即可。
关键：
1为了保证鱼的本味，炸之前不需要腌制入味。
2熏鱼卤水需要提前冷藏，鱼肉一定要趁热全部浸入卤水中，这样一冷一热的接触，可以保证酥脆的口感。",未发布,
（四川成都蓉锦一号时尚餐吧风味家常菜）豆椒炒土猪肉（附自制豆豉酱制法）,"特点：
演变自传统的川式回锅肉，亮点有两处：一是选用土猪肉生爆，因为土猪肉皮比较薄肉质比较脆，所以不需提前煮熟；二是选用农家收购来的土豆豉饼，味道更香更浓。
菜品制作：
杨海潮，现任四川成都蓉锦一号时尚餐吧行政总厨。","原料：
土猪五花肉200克，青二荆条辣椒150克，仔姜片50克，干红辣椒丝5克。
调料：
自制豆豉酱5克。
自制豆豉酱制法：
农家收来的土豆豉饼3个（每个重约10克，也可用永川豆豉代替）剁碎，泡椒75克打碎，郫县豆瓣75克打碎，甜面酱5克，将以上用料全部混合均匀，入冰箱存放，随用随取，每份菜约用5克。","制作方法：
（1）土猪肉切成薄片，青辣椒纵向剖成两半，将青椒仔姜片入六成热油中拉一下油备用。
（2）净锅上火放少许猪油，入切好的肉片生爆至七成熟，下入自制豆豉酱青椒仔姜片快速煸炒一下，入鸡精糖胡椒粉调味，入干红椒丝出锅即成。",未发布,
（四川成都美鱼馆风味菜品）辣豉汁扣鸭掌（附自制青椒油制法与特制辣豉汁制法）,"特点：
用微波炉出菜，快捷方便。成菜清香味很浓，鸭掌软糯辣度适中，吃法有广式白灼菜的感觉。
菜品制作：
陈渝，现任四川成都美鱼馆行政总厨。
介绍：
近两年来，成都各家旺店热卖的川菜在色泽和味型上都有了明显的转变：从色泽上看，红色逐渐向青绿色转变，在味型上，与传统川菜多采用干辣椒干花椒来烹制不同，大量运用新鲜青辣椒青花椒调味，这种色泽碧绿的鲜椒味型渐成主流。与以郫县豆瓣干红辣椒大红袍花椒为主导的传统麻辣菜相比，鲜椒味型的菜品有几个特点：
1主味突出复合味不重。
2辣度比较轻，由以往的燥辣变成一种带有蔬香气息的清新辣味。
3青辣椒与青花椒结合使用，呈现一种全新的麻辣味型，即鲜麻鲜辣。
作为一种全新的味型，它的视觉冲击力和时食客的味觉刺激都相当大，迎合了很多求新求变求健康食客的消费心理，在川式味型中占据了越多越多的份额。由于成都的大厨们占据了先天优势，对这种味型的钻研可谓登峰造极。
我们店应用鲜椒味型的方式有两种，一是自制青椒油，热菜凉菜均可使用；二是小米辣汁，最适宜只取辣味而不见辣椒的菜品","鸭掌加工：
选用色泽较好的白鸭掌，用流水漂1小时，入锅，加入八角桂皮香叶草果清水，调
入盐鸡粉，煮约20分钟至八成熟，离火浸泡至全熟，待汤汁自然冷却后再捞出。
自制青椒油制法：
色拉油与鸡油按照4：1的比例混合，1斤混合油下入青二荆条辣椒250克青小米辣50克青花椒50克姜蒜各20克洋葱10克等（熬此油所使用的葱姜洋葱等多为边角料），熬约半小时后下入鲜香茅草30克，继续熬制约半小时，过滤即成，油呈淡青色，青椒香味浓郁。
注：
这款青椒油在热菜和凉菜中均可使用，做凉菜时适用于本味较轻腥臊味不重的原料，做热菜时一般用于做浇头，不用于做底油，这是因为，青椒油本身味道不是很浓郁，如果再用葱姜蒜等爆锅，容易压住鲜椒的清香味。
特制辣豉汁制法（以熬1斤汁水为例）：
锅内加清水2斤，入剁成块的蔬菜（胡萝卜洋葱西芹香菜梗等）1斤小米辣（青红均可）30克生抽老抽糖色适量，小火熬制约半小时，过滤即成。","走菜流程：
（1）取一只深碗，底下垫上洋葱丝，摆入加工好的鸭掌约400克，倒入特制辣豉汁（至鸭掌一半的位置），入微波炉用高火打3分钟，取出。
（2）另起锅，放入青椒油藤椒油各10克，下入青椒段略炒，浇入碗中即可。
问：
为什么鸭掌要浸泡至全熟？
答：
一是因为鸭掌中富含胶原蛋白，若趁热捞出暴露在空气下，鸭掌冷却过程中水分会蒸发，表皮发干，卖相难看。二是在煮制过程中，调料的香味无法完全融入鸭掌内，需在浸泡的过程中充分入味。
问：
青花椒的苦涩味比较重，会不会影响成莱口味？怎么去除涩味效果比较好？
陈渝回复：
将保鲜青花椒开袋后浸泡入色拉油中，浸泡约4小时后即可使用，采用这种方法可以去除90的涩味。用油泡有两个好处，一是能泡去涩味，二是使鲜花椒与空气隔离，可以保持原
色防止变黑。浸泡过鲜花椒的油就可以作鲜花椒油使用。
问：
与干红花椒相比，青花椒在做菜时有什么特点？
陈渝回复：
青花椒又叫藤椒或野花椒，与红花椒相比，麻度小一些，但清鲜味非常浓郁。成朵的青花椒一般用于炝淋菜品，主要作用是点缀和调节颜色，如果需要比较强烈的鲜花椒味，在烹调时加点藤椒油效果会更好。烹调菜品时，青花椒用量不能太大，一般一份菜用一小朵即可（约10克）。",未发布,
